name,producer,href,description
Arabella,1,https://www.simonlevelt.nl/arabella,"Een volle, ronde medium roast van 100% arabica koffie."
Kopi Ketiara,1,https://www.simonlevelt.nl/kopi-ketiara,"De Kopi Ketiara is rijk aan de kenmerkende kruidigheid van koffie uit Indonesië en heeft een fantastisch mooie, volle body en een lange nasmaak."
Red Honey,1,https://www.simonlevelt.nl/red-honey,Een zoete koffie met frisse tonen en een zacht bittere nasmaak van donkere chocolade.
Gayo Blue Mountain,1,https://www.simonlevelt.nl/gayo-blue-mountain,Écht nagenieten van een lekker diner doe je natuurlijk met een kop goede koffie. De Gayo Blue Mountain is vol en rijk en is een goede keuze voor een after-dinner koffie.
Van Het Huis Medium,1,https://www.simonlevelt.nl/van-het-huis-medium,"Melange van arabica koffie uit Centraal en Zuid Amerika, aangevuld met Afrikaanse robusta"
Guji Highlands,1,https://www.simonlevelt.nl/guji-highlands,"Zachte, fruitige, iets zoete en zeer aromatische koffie uit de Guji regio."
Rio Coco,1,https://www.simonlevelt.nl/rio-coco,"De Rio Coco is een zachte, ronde en zoete koffie met een medium body. De koffie heeft heerlijke hints van chocolade, zoethout en braam en is een echt genot om te drinken."
Mochós Mocabe,1,https://www.simonlevelt.nl/mochos-mocabe,"Heerlijke zoete koffie met een hint van pure chocolade. De koffie heeft een volle body, is dik en rijk en heeft smaaktonen van karamel, gebrande suiker en hazelnoot."
Van het Huis Blond,1,https://www.simonlevelt.nl/van-het-huis-blond,Krachtige melange naar traditioneel familierecept. Een volle koffie die zacht van smaak en licht aromatisch is.
Mamahuaca Golden Honey,1,https://www.simonlevelt.nl/mamahuaca-golden-honey,"Koffie met karakter! Ontdek de zachtzoete smaak van melkchocolade, het sappige van citrus en het zoete van blauwe bes."
Shakisso Natural,1,https://www.simonlevelt.nl/shakisso-natural,"Sublieme koffie uit de Guji regio. Vol, rond, zoet en met de kenmerkende karakteristiek van ongewassen koffie."
