name,producer,href,image_url,description
Arabella,1,https://www.simonlevelt.nl/arabella,https://www.simonlevelt.nl/media/image/6e/58/82/a87df77f-89c5-4658-aa6a-4b7e1ae54e30_600x600.png,"Heb je trek in een volle, ronde medium roast koffie? Probeer dan de Arabella. De Arabella is een 100% arabica koffie met koffiebonen uit Sumatra, Brazilië en het geboorteland van de koffie, Ethiopië. Je kunt de Arabella prima zetten als espresso, maar is ook smakelijk als snelfilterkoffie."
December Koffie,1,https://www.simonlevelt.nl/december-koffie,https://www.simonlevelt.nl/media/image/ff/00/66/5dc7660e-ddc2-4d38-8c68-cc06aec347f3_600x600.png,"Creëer in december een geluksmomentje voor jezelf met de Limited Edition December Koffie. Deze dark roast heeft een volle body, zoete smaak en tonen van chocolade. Deze smaak komt goed tot zijn recht als espresso of heerlijke cappuccino. Drink je liever koffie uit je filterapparaat of cafetière, dan zit je ook goed met deze melange van arabica en robusta! Proef de wereld en geniet van het heerlijke aroma van de December Koffie."
Korofeigu,1,https://www.simonlevelt.nl/korofeigu,https://www.simonlevelt.nl/media/image/14/8c/74/Korofeigu_1_600x600.png,"Korofeigu is een ronde, soepele, medium roast koffie uit Papoea-Nieuw-Guinea. Proef de goede balans tussen kracht, zoetheid, een vleugje bitter en een aangename aciditeit. De zoete hints van rozijn, gebrande suiker en vanille, gecombineerd met fruitige tonen van pruim en pure chocolade zijn een uitstekende combinatie. Hints van ceder en een vleugje whiskey geven de Korofeigu zijn bijzondere karakter. De smaken van deze koffie komen het beste tot hun recht als espresso, espressopotje of snelfilter."
Kopi Ketiara,1,https://www.simonlevelt.nl/kopi-ketiara,https://www.simonlevelt.nl/media/image/63/c2/03/6440e553-cf2e-45f0-bbc7-3fa58b46824c_600x600.png,"De Kopi Ketiara is een ervaring op zich! Deze koffie heeft een stoer karakter, pittig roosterprofiel en prikkelende specerijensmaak. Natuurlijk is het ook rijk aan de kenmerkende kruidigheid van koffiebonen uit Indonesië en heeft het een fantastisch mooie, volle body en een lange nasmaak. Ideaal voor een krachtige espresso of Turkse koffie en verrassend zoet en vol uit de Kalita. Maar experimenteer vooral zelf!   De krachtige en typische Indonesische smaak heeft de Kopi Ketiara te danken aan de speciale manier van het wassen van de koffiebonen. Bij normale gewassen koffie wordt de hoornschil verwijderd op het moment dat de harde schil, de pergamino (ook wel parchement genoemd) droog is. In Indonesië willen de boeren niet wachten tot de pergamino droog is en wordt de hoornschil verwijderd terwijl de koffie nog nat is. Deze bereiding wordt Giling Basah ofwel Wet Hulling genoemd en is uniek in de koffiewereld. Dit zorgt voor de uitgesproken Indonesische smaak.  Niet alleen is de smaak van de Kopi Ketiara krachtig, maar het verhaal erachter ook. Deze Indonesische koffie wordt geproduceerd door de Ketiara Coöperatie. Deze coöperatie is opgericht door de vrouw Rahmah en bestaat voornamelijk uit vrouwen. De coöperatie produceert niet alleen koffiebonen, het maakt zich ook sterk voor de rechten van vrouwen in de regio. Lees er meer over deze bijzondere koffie in onze blog: Ontdek de Kopi Ketiara: onze ‘vrouwenkoffie’."
Red Honey,1,https://www.simonlevelt.nl/red-honey,https://www.simonlevelt.nl/media/image/d8/36/9d/5273b589-c44d-4e6a-b767-60ef15ae1cc1_600x600.png,"Red Honey is een zoete koffie met tonen van ahornsiroop, melasse en een zacht bittere nasmaak van donkere chocolade. De frisse tonen zijn mooi in balans met de volle zoetheid. Deze toegankelijke koffie is geschikt voor vele zetmethoden. Als espresso heeft de koffie een volle zoete smaak met een rijke body en een bescheiden fris hintje. De Red Honey is ook geschikt als Slow Coffee, gezet met de Kalita en Chemex, waarbij de zoete smaak wordt benadrukt en de rinse tonen meer naar de achtergrond verdwijnen. De Red Honey wordt geproduceerd volgens de honey-methode. Hierbij worden de koffiebonen in haar vruchtvlees gedroogd, waardoor de zoete fruitsmaak diep in de boon trekt. Daarna worden de harde koffiebonen geroosterd op een roosterprofiel met een zeer lange ontwikkelingstijd. Dit levert een extra zoete koffie op."
Gayo Blue Mountain,1,https://www.simonlevelt.nl/gayo-blue-mountain,https://www.simonlevelt.nl/media/image/49/eb/89/d1507692-3dec-48e5-ba38-35024ce0ad6b_600x600.png,"Écht nagenieten van een lekker diner doe je natuurlijk met een kop goede koffie. De Gayo Blue Mountain is vol en rijk. Dit maakt het een goede keuze voor een after-dinner koffie. Drink hem langzaam: snuif eerst de aromatische geur op, neem dan een slok, laat hem rondwalsen in je mond en ontdek de frisse body met op de achtergrond de typisch Indonesische aardse, houtachtige smaak. De Gayo Blue Mountain zal ook bij je gasten goed in de smaak vallen.  Echte fijnproevers zullen gelijk herkennen dat de Gayo Blue Mountain een Indonesische koffie is. Net zoals alle andere koffiebonen uit dit rijke koffieland, heeft ook de Gayo Blue Mountain een typische Indonesische smaak. Dit heeft de koffie te danken aan de speciale manier van het wassen van de koffiebonen. Bij normale gewassen koffie wordt de hoornschil (ofwel pergamino of parchment) verwijderd op het moment dat het droog is. In Indonesië is dat niet het geval en wordt de hoornschil verwijderd terwijl de koffie nog nat is. Dit wordt giling basah genoemd en is uniek in de koffiewereld. Dit is mede de oorzaak van de uitgesproken Indonesische smaak."
Van Het Huis Medium,1,https://www.simonlevelt.nl/van-het-huis-medium,https://www.simonlevelt.nl/media/image/37/f8/ef/7f5c9cf1-8410-4248-82f5-b15ecad97d13_600x600.png,"Een volle en ferme klassieker. Deze toegankelijke koffie is lekker uit zowel de filter als espresso. Proef de duidelijke tonen van robusta, wat de koffie aangenaam krachtig en iets notig maakt. Je proeft ook een vleugje melkchocolade. De koffie heeft nauwelijks rins en is een ongecompliceerde allemansvriend."
Guji Highlands,1,https://www.simonlevelt.nl/guji-highlands,https://www.simonlevelt.nl/media/image/67/3d/95/e8a894b4-785e-4a65-902c-9f9fbcee7c1c_600x600_600x600.png,"Guji Highlands is de opvolger van de Mocha Limu. De Guji Highlands komt uit hetzelfde land, een aangrenzende regio en wordt op exact dezelfde wijze gebrand (temperatuur, duur). De smaakkarakteristieken van de koffie is daardoor ook identiek."
Van het Huis Blond,1,https://www.simonlevelt.nl/van-het-huis-blond,https://www.simonlevelt.nl/media/image/8c/16/89/1bb7b8df-3cc0-46f4-9ce0-ac576edd969f_600x600.png,"De Van het Huis Blond, voorheen Van het Huis Light, is een krachtige melange naar traditioneel familierecept. De naam is veranderd, maar de sublieme smaak en kwaliteit niet. De koffiebonen melange bestaat uit arabica- en robustabonen uit Peru, Honduras en Afrika. De Van het Huis Blond is een volle koffie die verrassend zacht van smaak en licht aromatisch is."
Mamahuaca Golden Honey,1,https://www.simonlevelt.nl/mamahuaca-golden-honey,https://www.simonlevelt.nl/media/image/b7/e8/31/Mamahuaca-Honey_1_600x600.png,"Mamahuaca Golden Honey is een koffie met karakter. Ontdek de zachtzoete smaak van melkchocolade, het sappige van citrus en het zoete van blauwe bes in deze light roast koffiebonen. De koffie is smooth en soepel en heeft een heerlijk lange, maar lichte nasmaak. Voor de liefhebber van een frisse espresso is de Mamahuaca Golden Honey zeker het proberen waard. Laat je trakteren op een fruitige ervaring met een mooie crema en een volle body.   Deze smaak heeft de Mamahuaca Golden Honey te danken aan de herkomst en de manier van verwerken. Mamahuaca betekent Mother Mountain en verwijst naar een berg in Andes, Peru, die de vorm heeft van een vrouw. De koffie komt uit het gebied met uitzicht op de Mamahuaca. Na de pluk wordt de Mamahuaca Golden Honey verwerkt volgens de honey-methode. Bij deze Golden Honey koffie wordt 75-80% van het vruchtvlees verwijderd, voordat de koffiebes wordt gedroogd. Dat geeft de koffie zijn zoete smaak.   De boeren van de Mamahuaca Golden Honey hebben in 2001 contact opgenomen met Pronatur om hun koffie voor een eerlijke prijs op de internationale markt te krijgen. Hieruit is in 2006 de associatie Asociación Local de Productores Ecológicos Mamahuaca opgericht. Met technische hulp en toegang tot exportmarkten kunnen onze koffieboeren van de Mamahuaca Golden Honey hun koffie op de markt voor een eerlijkere prijs verkopen. Zo krijgen zij een eerlijkere prijs voor koffie door krachten te bundelen.   Ontdek meer over onze bijzondere projecten op simonlevelt.nl/premiumbiologisch."
