name,producer,href,image_url,description
Aroma Rood Filterkoffie,2,https://www.de.nl//producten/Filterkoffie/aroma-rood-filterkoffie/,https://www.de.nl//siteassets/_new/packshots-large/filter/filteraromaroodside.png?format=webp,"Aroma Rood is met zijn ronde, harmonieuze smaak en geurige karakteristieke aroma al jaren een begrip in Nederland. Onze meester koffiebranders hebben dan ook al sinds 1753 ervaring met het branden en melangeren van koffie. Hun expertise en de liefde voor het vak vind je terug in dit pak. De altijd constante smaak geeft je dat unieke vertrouwde thuisgevoel. Waar je ook bent.
Verkrijgbaar in de 250 en 500 grams verpakking.
Bereidingswijze
Gebruik deze snelfiltermaling in een filterapparaat of opzetfilter. Met een opzetfilter maak je de lekkerste 'slow coffee'. Maak het filter in de filterhouder even nat voordat je de koffie erin schept. Als je een kleine scheut gekookt (maar niet kokend) water opschenkt, kan de koffie wellen en worden de aroma's goed opgenomen. Giet na 15 seconden langzaam de rest van het water op en roer de koffie nog even door.
Bewaren
Door de inkeping in de folie maak je het pak gemakkelijk open. De koffie smaakt het beste tot 2 weken na opening als je deze koel en droog bewaart in de dichtgevouwen, originele verpakking.
"
Aroma Rood Grove Maling,2,https://www.de.nl//producten/Filterkoffie/aroma-rood-grove-maling/,https://www.de.nl//siteassets/_new/packshots-large/filter/filteraromaroodgrovemalingside.png?format=webp,"Aroma Rood Grove Maling Filterkoffie is geschikt voor percolator en cafetières. Onze meester koffiebranders hebben al sinds 1753 ervaring met het branden en melangeren van koffie. Hun expertise en de liefde voor het vak vind je terug in dit pak. De altijd constante smaak geeft je dat unieke vertrouwde thuisgevoel. Waar je ook bent.
Verkrijgbaar in de 250 en 500 grams verpakking.
Bereidingswijze
Gebruik deze Grove Maling in een rondfilter of cafetière. Met een opzetfilter maak je de lekkerste 'slow coffee'. Maak het filter in de filterhouder even nat voordat je de koffie erin schept. Als je een kleine scheut gekookt (maar niet kokend) water opschenkt, kan de koffie wellen en worden de aroma's goed opgenomen. Giet na 15 seconden langzaam de rest van het water op en roer de koffie nog even door.
Koffie zetten met een cafetière is eenvoudig: voeg de gewenste hoeveelheid koffie toe aan de kan, giet heet water erover, laat 4-5 minuten trekken, duw langzaam de zuiger naar beneden, schenk in kopjes. Geniet van de volle smaak en aroma's. Experimenteer met verhoudingen voor jouw perfecte kopje koffie.
Bewaren
Door de inkeping in de folie maak je het pak gemakkelijk open. De koffie smaakt het beste tot 2 weken na opening als je deze koel en droog bewaart in de dichtgevouwen, originele verpakking.
"
Aroma Rood Donker,2,https://www.de.nl//producten/Filterkoffie/aroma-rood-donker/,https://www.de.nl//siteassets/_new/packshots-large/filter/filteraromarooddonkerside.png?format=webp,"Een donkere variant op je vertrouwde Aroma Rood Filterkoffie. Een krachtig samenspel van gemalen Arabica- en Robustabonen, die van nature intens van smaak zijn. Door ze donkerder te branden, ontstaat een koffie met volle body en pittige smaak. Een koffie, gebrand voor een goede start.
Verkrijgbaar in de 250 en 500 grams verpakking.
Bereidingswijze
Gebruik deze snelfiltermaling in een filterapparaat of opzetfilter. Met een opzetfilter maak je de lekkerste 'slow coffee'. Maak het filter in de filterhouder even nat voordat je de koffie erin schept. Als je een kleine scheut gekookt (maar niet kokend) water opschenkt, kan de koffie wellen en worden de aroma's goed opgenomen. Giet na 15 seconden langzaam de rest van het water op en roer de koffie nog even door.
Bewaren
Door de inkeping in de folie maak je het pak gemakkelijk open. De koffie smaakt het beste tot 2 weken na opening als je deze koel en droog bewaart in de dichtgevouwen, originele verpakking.
"
Aroma Rood Blond,2,https://www.de.nl//producten/Filterkoffie/aroma-rood-blond/,https://www.de.nl//siteassets/_new/packshots-large/filter/filteraromaroodblondside.png?format=webp,"Een variant op je vertrouwde Aroma Rood Filterkoffie. Een koffie met overwegend Arabicabonen, die van nature fijn van smaak zijn. Door ze lichter te branden, ontstaat een koffie met vriendelijk karakter en zachte smaak.
Verkrijgbaar in 500 grams verpakking.
Bereidingswijze
Gebruik deze snelfiltermaling in een filterapparaat of opzetfilter. Met een opzetfilter maak je de lekkerste 'slow coffee'. Maak het filter in de filterhouder even nat voordat je de koffie erin schept. Als je een kleine scheut gekookt (maar niet kokend) water opschenkt, kan de koffie wellen en worden de aroma's goed opgenomen. Giet na 15 seconden langzaam de rest van het water op en roer de koffie nog even door.
Bewaren
Door de inkeping in de folie maak je het pak gemakkelijk open. De koffie smaakt het beste tot 2 weken na opening als je deze koel en droog bewaart in de dichtgevouwen, originele verpakking.
"
Excellent Gold Filterkoffie,2,https://www.de.nl//producten/Filterkoffie/Excellent-Gold/,https://www.de.nl//contentassets/0a4312aa0c2e4b93914b4eef7338c91a/douweegbertsexcellentgold.png?format=webp,"Met Excellent Gold filterkoffie zet je licht gebrande koffie voor een aromatische en volle smaak. De 100% Arabica koffie is een complexe en aromatische koffie, met een mooie balans, prettige zoetheid en elegante fruitige tonen.
Verkrijgbaar in de 250 en 500 grams verpakking.
Bereidingswijze
Gebruik deze snelfiltermaling in een filterapparaat of opzetfilter. Met een opzetfilter maak je de lekkerste 'slow coffee'. Maak het filter in de filterhouder even nat voordat je de koffie erin schept. Als je een kleine scheut gekookt (maar niet kokend) water opschenkt, kan de koffie wellen en worden de aroma's goed opgenomen. Giet na 15 seconden langzaam de rest van het water op en roer de koffie nog even door.
Bewaren
Wij adviseren om deze koffie te bewaren op een koele, droge plaats. Bewaar de koffie na opening niet langer dan 3 weken, bij voorkeur in originele verpakking in een goed afsluitende bus.
"
Excellent Mocca Filterkoffie,2,https://www.de.nl//producten/Filterkoffie/Excellent-Mocca/,https://www.de.nl//contentassets/8abf121873e849f589486353d90b5242/diuweegbertsexcellentmoccazijkant.png?format=webp,"Met Excellent Mocca filterkoffie zet je medium tot donker gebrande koffie voor een intense en geroosterde smaak. De Arabica koffie heeft een volle en intense smaak, met een hint van cacao, geroosterde noten, zachte kruiden en een rijke nasmaak.
Bereidingswijze
Gebruik deze snelfiltermaling in een filterapparaat of opzetfilter. Met een opzetfilter maak je de lekkerste 'slow coffee'. Maak het filter in de filterhouder even nat voordat je de koffie erin schept. Als je een kleine scheut gekookt (maar niet kokend) water opschenkt, kan de koffie wellen en worden de aroma's goed opgenomen. Giet na 15 seconden langzaam de rest van het water op en roer de koffie nog even door.
Bewaren
Wij adviseren om deze koffie te bewaren op een koele, droge plaats. Bewaar de koffie na opening niet langer dan 3 weken, bij voorkeur in originele verpakking in een goed afsluitende bus.
"
Excellent Select Filterkoffie,2,https://www.de.nl//producten/Filterkoffie/Excellent-Select/,https://www.de.nl//contentassets/b35fe195b47d4dc79fda427309703851/douweegbertsexcellentselectzijkant.png?format=webp,"Met Excellent Select zet je mild gebrande filterkoffie voor een verfijnde en karaktervolle smaak. Een uitgesproken en verfijnde Arabica koffie, met accenten van citrus en noten en een kruidige afdronk met zachte karamel smaken.
Bereidingswijze
Gebruik deze snelfiltermaling in een filterapparaat of opzetfilter. Met een opzetfilter maak je de lekkerste 'slow coffee'. Maak het filter in de filterhouder even nat voordat je de koffie erin schept. Als je een kleine scheut gekookt (maar niet kokend) water opschenkt, kan de koffie wellen en worden de aroma's goed opgenomen. Giet na 15 seconden langzaam de rest van het water op en roer de koffie nog even door.
Bewaren
Wij adviseren om deze koffie te bewaren op een koele, droge plaats. Bewaar de koffie na opening niet langer dan 3 weken, bij voorkeur in originele verpakking in een goed afsluitende bus.
"
Excellent Black Filterkoffie,2,https://www.de.nl//producten/Filterkoffie/Excellent-black/,https://www.de.nl//contentassets/10a8392889234c539f5d1a4fe6a15b5e/douweegbertsexcellentblackzijkant.png?format=webp,"Met Excellent Black filterkoffie zet je een langaam en intens gebrande koffie voor een volle smaak en complex gebrande aroma’s. Een krachtige 100% Arabica koffie, met sterke accenten van pure chocolade en zoet fruit. Een volle koffie met een rijke geroosterde nasmaak
Bereidingswijze
Gebruik deze snelfiltermaling in een filterapparaat of opzetfilter. Met een opzetfilter maak je de lekkerste 'slow coffee'. Maak het filter in de filterhouder even nat voordat je de koffie erin schept. Als je een kleine scheut gekookt (maar niet kokend) water opschenkt, kan de koffie wellen en worden de aroma's goed opgenomen. Giet na 15 seconden langzaam de rest van het water op en roer de koffie nog even door.
Bewaren
Wij adviseren om deze koffie te bewaren op een koele, droge plaats. Bewaar de koffie na opening niet langer dan 3 weken, bij voorkeur in originele verpakking in een goed afsluitende bus.
"
Decafé,2,https://www.de.nl//producten/Filterkoffie/decafe/,https://www.de.nl//siteassets/_new/packshots-large/filter/filterdecafeside.png?format=webp,"Decafé biedt je de karakteristieke ronde smaak van Aroma Rood Filterkoffie, maar dan zonder de cafeïne. Dankzij de kennis en expertise van onze meester koffiebranders is de aanwezige cafeïne zorgvuldig uit de koffie verwijderd, terwijl de volle smaak behouden is gebleven. Daardoor kun jij ieder moment van de dag, zelfs tot laat in de avond, genieten van een lekker kopje koffie.
Verkrijgbaar in de 250 en 500 grams verpakking.
Bereidingswijze
Gebruik deze snelfiltermaling in een filterapparaat of opzetfilter. Met een opzetfilter maak je de lekkerste 'slow coffee'. Maak het filter in de filterhouder even nat voordat je de koffie erin schept. Als je een kleine scheut gekookt (maar niet kokend) water opschenkt, kan de koffie wellen en worden de aroma's goed opgenomen. Giet na 15 seconden langzaam de rest van het water op en roer de koffie nog even door.
Bewaren
Door de inkeping in de folie maak je het pak gemakkelijk open. De koffie smaakt het beste tot 2 weken na opening als je deze koel en droog bewaart in de dichtgevouwen, originele verpakking.
"
Mildcafé,2,https://www.de.nl//producten/Filterkoffie/mildcafe/,https://www.de.nl//siteassets/_new/packshots-large/filter/filtermildcafeside.png?format=webp,"Mildcafé is een geurige milde filterkoffie met een zachte afdronk. Onze meester koffiebranders hebben voor deze blend mildere koffiesoorten geselecteerd en deze ook nog eens langzamer en lichter gebrand. Dit heeft geresulteerd in een filterkoffie met een heerlijk mild aroma. Een heerlijke koffie waar je zorgeloos van kunt genieten.
Bereidingswijze
Gebruik deze snelfiltermaling in een filterapparaat of opzetfilter. Met een opzetfilter maak je de lekkerste 'slow coffee'. Maak het filter in de filterhouder even nat voordat je de koffie erin schept. Als je een kleine scheut gekookt (maar niet kokend) water opschenkt, kan de koffie wellen en worden de aroma's goed opgenomen. Giet na 15 seconden langzaam de rest van het water op en roer de koffie nog even door.
Bewaren
Door de inkeping in de folie maak je het pak gemakkelijk open. De koffie smaakt het beste tot 2 weken na opening als je deze koel en droog bewaart in de dichtgevouwen, originele verpakking.
"
